student_id_new,acct_id_new,person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id,gender,city,state,zip,ethnicity
7999,11181,23614,74,3,7,8.0,N,N,2.79444,0,6,2.44444,0,12,M,Cherokee,NC,28719,0
8000,754,25607,68,14,7,9.0,N,N,1.14,2,107,1.14,0,12,M,Ferguson,NC,28624,2
8001,12580,19216,26,14,7,9.0,N,N,0.925,26,28,0.925,4,12,F,Millers Creek,NC,28651,2
8002,121,29446,11,1,9,8.0,Y,N,3.44444,1,6,3.44444,0,12,F,Wilkesboro,NC,28697,1
8003,16875,28925,6,12,5,8.0,N,N,,0,0,,0,11,F,Rutherfordton,NC,28139,0
8004,2560,18919,11,1,5,8.0,N,N,,6,0,,0,12,F,North Wilkesboro,NC,28659,0
8005,3623,16587,11,1,9,8.0,Y,N,3.325,0,2,3.325,0,12,F,North Wilkesboro,NC,28659,1
8006,13596,27643,20,17,5,8.0,N,N,0.0,0,0,,0,12,M,Ellenboro,NC,28040,0
8007,14934,9577,55,10,5,7.0,N,Y,2.64,7,0,3.08333,0,12,F,,,,0
8008,6864,24352,13,23,5,9.0,N,N,,12,10,,0,12,F,Boone,NC,28607,0
8009,11745,6739,23,17,5,12.0,N,N,0.0,1,3,,0,12,M,Forest City,NC,28043,0
8010,15006,20190,36,10,5,7.0,N,N,3.33333,0,0,3.08333,0,11,M,Morganton,NC,28655,0
8011,10192,21935,18,1,5,7.0,N,N,3.925,1,5,3.925,0,12,M,Wilkesboro,NC,28697,0
8012,11159,2600,18,1,2,6.0,N,N,,2,0,,0,12,M,N. Wilkesboro,NC,28659,0
8013,8081,22356,47,20,5,8.0,N,N,3.53333,5,5,3.36429,0,11,F,Bryson City,NC,28713,0
8014,1301,5407,51,10,5,6.0,N,N,3.83333,0,0,3.66667,0,11,M,Connelly Springs,NC,28612,0
8015,5955,6265,53,9,5,6.0,N,N,3.29545,1,6,3.03636,0,12,M,Rutherfordton,NC,28139,0
8016,5526,5439,11,1,5,8.0,N,N,1.78333,2,9,1.78333,0,12,F,Boomer,NC,28606,0
8017,6966,12970,11,1,5,6.0,N,N,3.16667,2,1,3.16667,0,12,M,Ferguson,NC,28624,0
8018,17058,24431,11,1,2,8.0,N,N,2.30833,2,8,2.30833,3,12,F,North Wilkesboro,NC,28659,0
8019,14458,14977,13,23,5,9.0,N,N,,5,6,,0,12,F,Boone,NC,28607,0
8020,6786,17324,20,17,5,6.0,N,N,0.0,0,0,,0,12,F,Mooresboro,NC,28114,0
8021,10444,5367,49,10,5,6.0,N,Y,2.30435,9,5,2.75,0,12,M,Morganton,NC,28655,0
8022,10656,26370,10,17,5,7.0,N,N,0.0,1,0,,0,12,F,Rutherfordton,NC,28139,0
8023,2481,22901,2,14,5,8.0,N,N,2.75714,4,5,2.2,0,11,M,Wilkesboro,NC,28697,2
8024,3405,20686,13,23,5,9.0,N,N,,18,4,,0,12,F,Blowing Rock,NC,28605,0
8025,10890,14850,36,10,5,8.0,N,N,2.79167,12,9,2.5,0,12,M,Morganton,NC,28655,0
8026,1489,22757,62,12,5,9.0,N,N,3.64167,7,2,3.4,0,12,F,Forest City,NC,28043,0
8027,12974,4109,33,22,5,6.0,N,Y,3.18333,2,4,3.61429,0,12,F,Zionville,NC,28698,0
8028,6109,13953,20,17,5,6.0,N,N,0.0,1,1,,0,12,M,Forest City,NC,28043,0
8029,1342,23626,71,21,5,9.0,N,N,3.375,1,0,2.8375,0,12,M,Morganton,NC,28655,0
8030,4805,2553,12,17,5,10.0,N,N,0.0,1,0,,0,12,F,Forest City,NC,28043,0
8031,9554,14194,15,1,2,6.0,N,N,1.83333,2,1,1.83333,2,12,M,North Wilkesboro,NC,28659,0
8032,6984,20070,73,21,4,8.0,N,N,3.44444,0,0,3.25,0,11,M,Valdese,NC,28690,0
8033,5155,10269,77,2,9,6.0,N,N,2.83913,2,1,3.10833,0,12,M,West Jefferson,NC,28694,1
8034,16096,21933,61,21,5,9.0,N,N,2.18235,15,11,1.88,2,12,F,Valdese,NC,28690,0
8035,9592,14026,52,17,5,8.0,N,N,0.0,0,0,,0,12,F,Forest City,NC,28043,0
8036,10628,10069,61,21,5,9.0,N,N,1.71176,104,15,0.1625,7,12,M,Morganton,NC,28612,0
8037,16921,19582,55,10,5,6.0,N,N,3.84615,0,0,3.66667,0,11,M,Morganton,NC,28655,0
8038,16675,18256,35,17,5,11.0,N,N,0.0,1,3,,0,12,M,Rutherfordton,NC,28139,0
8039,16244,24774,11,1,5,8.0,N,Y,1.72222,5,1,1.72222,3,12,M,North Wilkesboro,NC,28659,0
8040,16848,12597,12,17,5,11.0,N,N,0.0,2,3,,0,12,F,Ellenboro,NC,28040,0
8041,6405,9611,12,17,5,10.0,N,N,0.0,0,0,,0,12,M,Bostic,NC,28018,0
8042,4877,13630,67,2,5,7.0,N,N,2.71429,0,4,2.71429,0,11,M,Todd,NC,28684,0
8043,4577,14688,29,8,5,8.0,N,N,4.0,5,6,4.0,0,11,M,Sparta,NC,28675,2
8044,17178,24950,57,21,5,8.0,N,Y,2.13333,0,0,1.66667,1,11,M,Morganton,NC,28655,0
8045,747,28774,48,23,5,8.0,N,Y,2.37857,2,3,1.33333,4,11,M,Vilas,NC,28692,0
8046,4643,29105,49,10,5,7.0,N,N,3.58333,3,6,3.33333,0,11,F,Valdese,NC,28690,0
8047,36,27115,23,17,4,9.0,N,N,0.0,0,7,,0,12,F,Mooresboro,NC,28114,0
8048,9456,6463,55,10,5,8.0,N,N,2.63333,1,1,2.375,0,12,F,Morganton,NC,28680,0
8049,8039,12602,11,1,5,6.0,N,N,3.95,5,0,3.95,0,12,F,Wilkesboro,NC,28697,0
8050,12495,9399,18,1,5,6.0,N,N,3.61667,0,2,3.61667,0,12,M,North Wilkesboro,NC,28659,0
8051,13935,704,49,10,5,6.0,N,N,4.0,1,0,4.0,0,12,F,Connelly Springs,NC,28612,0
8052,11274,15161,73,21,5,8.0,N,Y,1.67742,5,0,1.83333,3,11,M,Morganton,NC,28655,0
8053,6023,26671,6,12,4,8.0,N,N,,0,0,,0,11,M,Rutherfordton,NC,28139,0
8054,7704,7263,16,10,5,6.0,N,N,3.8125,0,7,3.58333,0,11,F,Morganton,NC,28655,0
8055,3236,17637,12,17,5,12.0,N,N,0.0,0,0,,0,12,M,Ellenboro,NC,28040,0
8056,8307,225,23,17,5,12.0,N,N,0.0,3,0,,0,12,M,Forest City,NC,28043,0
8057,16371,10818,73,21,5,8.0,N,N,3.29167,0,0,3.23077,0,11,F,Valdese,NC,28690,0
